"geo_id","Y","N","U"
"06081607200",356,242,1
"06081607300",1142,169,1
"06081607400",907,336,1
"06081607500",611,170,0
"06081607600",802,242,1
"06081607701",754,390,4
"06081607702",641,159,0
"06081607800",858,153,2
"06081607900",913,317,3
"06081608001",691,160,2
"06081608002",1109,290,2
"06081608004",1320,411,2
"06081608013",870,181,5
"06081608023",730,138,4
"06081608100",810,196,2
"06081608200",846,151,2
"06081608300",708,112,1
"06081608400",745,288,1
"06081608501",1106,309,1
"06081608502",646,123,2
"06081608600",699,220,2
"06081608700",1877,342,7
"06081608800",1996,217,9
"06081608900",1163,213,2
"06081609000",692,112,1
"06081609100",371,117,2
"06081609201",959,267,0
"06081609202",620,309,2
"06081609300",971,140,3
"06081609400",1031,149,1
"06081609500",1582,171,2
"06081609601",905,139,4
"06081609602",584,67,2
"06081609603",1852,302,5
"06081609700",1450,178,13
"06081609800",1375,238,2
"06081609900",976,125,2
"06081610000",874,279,5
"06081610100",412,157,3
"06081610201",384,198,2
"06081610202",34,58,0
"06081610203",92,151,0
"06081610302",357,57,1
"06081610303",2028,392,3
"06081610304",1452,369,1
"06081610400",641,399,1
"06081610500",580,202,0
"06081610601",429,380,2
"06081610602",818,251,2
"06081610700",662,320,1
"06081610800",202,325,1
"06081610900",698,578,1
"06081611000",963,574,2
"06081611100",1939,275,6
"06081611200",883,175,0
"06081611300",1402,319,4
"06081611400",1142,350,8
"06081611500",829,141,5
"06081611600",701,103,0
"06081611700",790,289,0
"06081611800",578,259,1
"06081611900",1335,619,5
"06081612000",817,440,5
"06081612100",475,334,3
"06081612500",758,363,3
"06081612600",548,537,2
"06081612700",705,110,1
"06081612800",1039,158,2
"06081612900",1417,295,3
"06081613000",926,213,0
"06081613200",2044,283,15
"06081613300",838,190,10
"06081613400",893,303,11
"06081613501",848,302,13
"06081613502",918,1258,16
"06081613600",751,1260,19
"06081613700",2025,649,17
"06081613800",337,775,112
"06081613900",1399,263,3
"06081614000",1263,260,1
"06085120500",8,2,0
"06085121000",0,1,0
"06085123300",1,0,0
"06085443301",4,0,0
"06085500100",989,485,2
"06085500200",530,473,5
"06085500300",669,327,16
"06085500400",398,183,2
"06085500500",1412,316,3
"06085500600",771,276,0
"06085500800",562,558,3
"06085500901",371,326,1
"06085500902",17,94,0
"06085501000",386,419,0
"06085501101",507,271,0
"06085501102",800,353,1
"06085501200",520,379,1
"06085501300",514,206,0
"06085501401",256,201,1
"06085501402",290,232,0
"06085501501",309,225,0
"06085501502",442,259,0
"06085501600",478,431,0
"06085501700",302,370,2
"06085501800",1015,377,1
"06085501900",763,380,1
"06085502001",730,481,0
"06085502002",438,259,0
"06085502101",1068,393,0
"06085502102",619,406,0
"06085502201",607,358,0
"06085502202",808,268,0
"06085502301",777,219,0
"06085502302",449,130,0
"06085502400",2060,553,5
"06085502500",1919,388,1
"06085502601",920,120,1
"06085502603",724,180,0
"06085502604",426,213,0
"06085502701",1039,362,2
"06085502702",2132,591,1
"06085502800",1074,237,0
"06085502901",1392,343,0
"06085502902",2261,429,0
"06085502903",1676,250,0
"06085502906",1025,241,1
"06085502907",1137,201,0
"06085502908",1701,345,1
"06085502909",1067,484,0
"06085502910",669,223,0
"06085503001",1306,266,0
"06085503002",909,158,0
"06085503003",1492,275,0
"06085503105",202,147,0
"06085503108",1019,317,6
"06085503110",174,213,0
"06085503111",792,260,2
"06085503112",435,360,2
"06085503113",425,420,1
"06085503115",1246,377,3
"06085503116",515,144,0
"06085503117",275,175,1
"06085503118",459,421,2
"06085503121",380,286,7
"06085503122",230,145,1
"06085503123",182,84,1
"06085503204",1235,440,0
"06085503207",820,207,1
"06085503208",639,188,0
"06085503210",612,256,1
"06085503211",903,228,0
"06085503212",780,177,0
"06085503213",388,258,0
"06085503214",420,134,2
"06085503217",622,414,0
"06085503218",379,154,0
"06085503304",825,403,3
"06085503305",800,304,3
"06085503306",521,162,0
