"geo_id","2004_Y","2004_N","2004_U","2005_Y","2005_N","2005_U","2006_Y","2006_N","2006_U","2007_Y","2007_N","2007_U","2008_Y","2008_N","2008_U","2009_Y","2009_N","2009_U","2010_Y","2010_N","2010_U","2011_Y","2011_N","2011_U","2012_Y","2012_N","2012_U","2013_Y","2013_N","2013_U","2014_Y","2014_N","2014_U"
"06001425101",2,0,0,0,0,0,592,521,0,662,585,0,649,607,0,111,82,2,590,641,2,597,653,5,573,678,4,561,694,0,0,0,0
"06001425102",4,0,0,0,0,0,242,656,1,401,694,0,364,742,0,77,349,2,430,672,5,443,685,3,490,637,3,501,629,1,0,0,0
"06001425103",1,0,1,0,0,0,227,210,0,330,191,2,380,248,2,89,68,2,428,257,4,457,267,3,443,283,3,436,292,2,0,0,0
"06001425104",3,2,0,0,0,0,273,226,0,393,240,0,425,342,0,91,130,6,503,406,3,592,351,3,595,347,3,542,406,1,0,0,0
"06001426100",17,2,1,0,0,0,1672,166,1,1954,211,1,1961,209,0,440,49,1,1844,220,1,1943,231,0,1937,238,0,1938,235,0,0,0,0
"06001426200",15,3,0,0,0,0,1222,169,2,1402,215,0,1417,210,0,331,39,1,1339,211,1,1412,215,1,1401,225,2,1407,221,0,0,0,0
"06001427100",11,0,0,0,0,0,881,173,0,1027,203,0,1023,216,0,226,38,0,971,207,0,1024,216,1,1019,221,1,1023,218,0,0,0,0
"06001427200",7,2,0,0,0,0,483,276,1,592,313,0,588,317,0,109,57,4,568,309,0,590,313,1,576,326,4,568,339,0,0,0,0
"06001427300",9,2,1,0,0,0,693,318,2,834,348,2,829,356,1,169,60,4,782,375,2,803,387,4,825,394,3,837,392,2,0,0,0
"06001427600",1,3,0,0,0,0,126,92,0,154,98,2,159,97,2,34,24,4,155,88,4,160,99,5,163,98,3,163,98,3,0,0,0
"06001427700",8,2,0,0,0,0,637,279,1,751,318,0,745,328,0,152,50,3,725,315,1,732,339,2,734,339,1,740,334,0,0,0,0
"06001427800",6,1,0,0,0,0,655,321,0,755,364,1,759,365,1,159,64,4,720,363,3,752,369,2,747,373,4,753,370,1,0,0,0
"06001427900",13,1,0,0,0,0,631,274,0,741,311,0,741,312,1,152,41,3,708,322,0,731,323,2,733,322,0,741,313,1,0,0,0
"06001428000",5,1,0,0,0,0,157,173,0,194,193,0,199,191,0,34,21,2,194,188,0,199,191,1,203,189,0,200,192,0,0,0,0
"06001428100",9,2,0,0,0,0,816,251,0,982,286,0,980,291,0,220,40,2,941,277,2,976,297,1,972,301,2,979,296,0,0,0,0
"06001428200",10,4,0,0,0,0,1306,360,0,1526,423,1,1535,421,0,302,83,5,1437,435,2,1508,446,2,1518,438,2,1516,442,1,0,0,0
"06001428301",29,5,0,0,0,0,1707,505,0,1975,563,3,1978,576,4,367,80,4,1850,589,7,1937,610,11,1940,609,9,1939,617,2,0,0,0
"06001428302",26,2,0,0,0,0,2019,409,1,2336,446,3,2345,442,3,492,55,5,2240,441,1,2344,441,4,2310,475,2,2324,460,3,0,0,0
"06001428400",4,2,0,0,0,0,385,307,0,436,342,0,443,337,1,83,40,4,413,348,2,427,352,2,417,365,0,411,371,0,0,0,0
"06001428500",10,1,0,0,0,0,568,152,0,652,179,0,654,181,0,130,23,2,626,187,0,634,199,0,633,200,0,627,205,1,0,0,0
"06001428600",3,2,0,0,0,0,754,221,0,848,245,0,847,252,0,138,30,5,797,265,0,819,275,4,816,280,3,818,281,0,0,0,0
"06001428700",0,0,0,0,0,0,164,90,0,294,100,0,429,92,0,122,11,3,463,99,2,490,98,2,489,100,1,491,99,0,0,0,0
"06001430101",26,0,0,0,0,0,1709,286,1,2048,324,12,2055,338,10,495,50,4,1891,382,12,1997,406,12,1955,451,12,1974,434,10,0,0,0
